id,nombre,nacimiento,genero,empresa,idioma,puesto,ciudad,edad
634120,WILLIE MYERS,1989-11-14,MALE,DIGITUBE,ESTONIAN,DIRECTOR OF SALES,WUJIAO,36
1280613,JERRY TUCKER,1947-02-28,MALE,GIGABOX,HUNGARIAN,JUNIOR EXECUTIVE,GATBO,78
1123085,MATTHEW WELCH,1948-11-28,MALE,TEKFLY,MALTESE,TAX ACCOUNTANT,TAIFU,77
262607,JACQUELINE SPENCER,1990-10-02,FEMALE,THOUGHTMIX,AFRIKAANS,BIOSTATISTICIAN IV,GOBABIS,35
915374,JUSTIN BURTON,1969-11-24,MALE,EIMBEE,PAPIAMENTO,DENTAL HYGIENIST,KARJALOHJA,56
163561,SARA SULLIVAN,1957-04-12,FEMALE,GABVINE,JAPANESE,ADMINISTRATIVE OFFICER,SAINT-ÌÄTIENNE,68
161529,CHRISTOPHER FLORES,1998-05-06,MALE,CAMIMBO,TSWANA,DESIGN ENGINEER,BAPSKA,27
296401,CAROLYN STEVENS,1994-12-15,FEMALE,SKYBLE,AMHARIC,EXECUTIVE SECRETARY,PAIHIA,31
1108396,ANNA ROGERS,1963-10-13,FEMALE,VOOLITH,PASHTO,DATA COORDIATOR,ARARAS,62
478763,CYNTHIA PETERS,1951-11-20,FEMALE,SHUFFLEDRIVE,HIRI MOTU,HUMAN RESOURCES ASSISTANT I,JIAZHUYUAN,74
1209965,JERRY GARDNER,1986-05-15,MALE,MEEMM,GUJARATI,STRUCTURAL ENGINEER,PINHEIRO,39
691766,KAREN WOOD,1982-03-25,FEMALE,PHOTOFEED,DHIVEHI,SALES ASSOCIATE,MIAOQIAN,43
371941,PATRICK WALKER,1966-06-24,MALE,DAZZLESPHERE,ORIYA,RESEARCH ASSISTANT III,QIDU,59
470165,RONALD WALKER,1988-10-08,MALE,PHOTOBUG,DARI,RESEARCH ASSISTANT IV,PUTUN,37
1143344,MARGARET BOYD,1953-12-25,FEMALE,JANYX,DZONGKHA,GIS TECHNICAL ARCHITECT,PLIWETAN,72
858127,ALAN MITCHELL,1979-04-17,MALE,JAXBEAN,LATVIAN,EXECUTIVE SECRETARY,SHUANGQUAN,46
168685,BETTY BURKE,1967-01-12,FEMALE,PHOTOBUG,HUNGARIAN,COST ACCOUNTANT,LAPPEENRANTA,58
65249,DENNIS MORRISON,1947-04-11,MALE,TRUNYX,ARABIC,TEACHER,COLIMA,78
705177,CATHERINE WAGNER,1970-09-08,FEMALE,TAGOPIA,GREEK,FINANCIAL ADVISOR,BªEZOVÌÁ NAD SVITAVOU,55
859454,HEATHER MORRIS,1953-02-02,FEMALE,YAKITRI,FILIPINO,ASSOCIATE PROFESSOR,PHUTHADITJHABA,72
226547,RAYMOND TURNER,1953-07-29,MALE,YAKITRI,DHIVEHI,AUTOMATION SPECIALIST IV,JACKSONVILLE,72
196046,VICTOR ROMERO,1976-08-28,MALE,WORDPEDIA,TOK PISIN,ADMINISTRATIVE OFFICER,UNAIZAH,49
90496,MARTHA LEE,1982-03-13,FEMALE,YOUBRIDGE,ZULU,WEB DESIGNER II,KUPINO,43
479324,PETER KELLY,1959-02-08,MALE,FLASHSPAN,ARMENIAN,TECHNICAL WRITER,KAGAY,66
139064,ANDREA SMITH,1970-08-04,FEMALE,YOUSPAN,DHIVEHI,INTERNAL AUDITOR,SITABAMBA,55
928046,DONALD ALLEN,1945-12-27,MALE,OOBA,LUXEMBOURGISH,MECHANICAL SYSTEMS ENGINEER,BORÇJERD,80
595321,SHAWN HERNANDEZ,1962-02-14,MALE,EAZZY,HINDI,COMPUTER SYSTEMS ANALYST I,BANG LEN,63
652566,JULIE DIXON,1946-11-09,FEMALE,GIGAZOOM,SOMALI,CHIEF DESIGN ENGINEER,YUEFENG,79
425069,LOUIS JONES,1961-10-22,MALE,OYOLOO,NEPALI,VP ACCOUNTING,STRENI,64
589789,ROGER WHITE,1994-03-28,MALE,SHUFFLEBEAT,GUJARATI,DIRECTOR OF SALES,BAKOV NAD JIZEROU,31
488277,CLARENCE ROSE,1959-08-24,MALE,THOUGHTMIX,THAI,ASSOCIATE PROFESSOR,COMILLA,66
213145,JERRY BAKER,1971-08-24,MALE,ZOOMLOUNGE,FINNISH,PROGRAMMER II,ADMIRALTEISKY,54
936737,LILLIAN WHITE,1999-11-05,FEMALE,JABBERSPHERE,MALTESE,ENVIRONMENTAL TECH,PUL-E SANGÇ,26
85555,CAROL KELLY,1967-08-18,FEMALE,GIGAZOOM,INDONESIAN,MARKETING ASSISTANT,SHALANG,58
1059475,JOSE BISHOP,1992-12-18,MALE,TWIYO,MALTESE,INTERNAL AUDITOR,MANZANILLO,33
517720,HAROLD WOOD,1949-10-08,MALE,TAGOPIA,LITHUANIAN,PROGRAMMER ANALYST II,DIMAYON,76
333746,RANDY STANLEY,1949-10-25,MALE,TWITTERBEAT,SOMALI,JUNIOR EXECUTIVE,RYDUÂTOWY,76
851973,KEITH AUSTIN,1944-12-05,MALE,BUBBLETUBE,ALBANIAN,GEOLOGIST II,CINUNJANG,81
1026208,RACHEL PEREZ,1987-02-08,FEMALE,DYNAZZY,PAPIAMENTO,MARKETING ASSISTANT,HELMAS,38
21302,DONNA HAMILTON,1983-11-18,FEMALE,LIVEZ,MALAGASY,VP MARKETING,KUIDOU,42
101161,JOSE WILLIAMSON,1996-07-07,MALE,BLUEJAM,MALAGASY,SAFETY TECHNICIAN II,COTTON GROUND,29
149854,MARK BRADLEY,1993-07-02,MALE,DABJAM,ROMANIAN,VP PRODUCT MANAGEMENT,DAPHU,32
555887,WAYNE BENNETT,1968-02-28,MALE,GIGASHOTS,MALAYALAM,RECRUITING MANAGER,WEEPANAPI,57
208678,CHRIS TUCKER,1946-11-28,MALE,INNOJAM,ZULU,RECRUITER,DIANYA,79
960928,JACK TUCKER,1949-03-26,MALE,REALPOINT,NDEBELE,CHEMICAL ENGINEER,EBU,76
854858,MARTIN ROBERTS,1952-07-23,MALE,GIGACLUB,BENGALI,SOFTWARE ENGINEER II,MIJIANG,73
22596,LILLIAN GIBSON,1943-09-01,FEMALE,BROWSECAT,POLISH,PROGRAMMER I,DAXING,82
305234,DEBRA CARTER,1961-06-03,FEMALE,VOONYX,BENGALI,AUTOMATION SPECIALIST IV,KRUTINKA,64
1197550,PATRICIA HARVEY,1974-06-20,FEMALE,TAMBEE,MALAY,SENIOR SALES ASSOCIATE,DOLANY,51
1083188,TERESA WRIGHT,1959-01-24,FEMALE,KWIDEO,ENGLISH,ASSISTANT MEDIA PLANNER,SANTIAGO PURINGLA,66
673572,JUDITH HARRISON,1947-07-14,FEMALE,EINTI,CHINESE,ASSOCIATE PROFESSOR,BOAVISTA,78
249247,STEPHEN WILLIS,1980-08-12,MALE,EABOX,HUNGARIAN,LIBRARIAN,SHIRBÇN,45
1000767,NICHOLAS REYNOLDS,1993-03-27,MALE,FLASHSPAN,PASHTO,HUMAN RESOURCES ASSISTANT III,KARLOVY VARY,32
419048,ANNA VASQUEZ,1947-09-21,FEMALE,YAMIA,AFRIKAANS,COMMUNITY OUTREACH SPECIALIST,BROVARY,78
331270,ANTHONY GREEN,1976-08-31,MALE,ABATA,ARMENIAN,ACCOUNTANT II,BEAUNG TENGAH,49
3926,STEPHANIE MARTINEZ,1986-02-04,FEMALE,CAMIMBO,JAPANESE,ANALYST PROGRAMMER,BURGOS,39
300882,KENNETH BLACK,1989-06-09,MALE,IZIO,GAGAUZ,FOOD CHEMIST,OBUDOVAC,36
37382,ERIC HANSEN,1975-05-04,MALE,NLOUNGE,PAPIAMENTO,WEB DESIGNER I,MAIORCA,50
1314032,TINA FOWLER,1994-03-11,FEMALE,TWIMBO,MONGOLIAN,MEDIA MANAGER II,BILAJER,31
672767,JUAN SIMS,1955-02-06,MALE,SKYVU,PERSIAN,RESEARCH ASSISTANT IV,SARKAND,70
273385,WILLIE SIMMONS,1955-08-12,MALE,MYMM,SOTHO,HUMAN RESOURCES MANAGER,PAITAN,70
482439,BEVERLY WILSON,1947-08-04,FEMALE,SKINIX,PUNJABI,ANALOG CIRCUIT DESIGN MANAGER,SHIDU,78
1218905,WANDA BOWMAN,1955-03-29,FEMALE,EARE,GAGAUZ,MARKETING ASSISTANT,HELSINGBORG,70
308437,FRANK CARR,1969-06-05,MALE,TOPICSTORM,LUXEMBOURGISH,COST ACCOUNTANT,LIUJIA,56
712844,ANGELA ROSE,1984-06-15,FEMALE,BLUEZOOM,BOSNIAN,OFFICE ASSISTANT IV,THAON-LES-VOSGES,41
1355914,CARL HUNT,1977-03-16,MALE,TOPICSHOTS,BISLAMA,EDITOR,NIKOLÛªSKOYE,48
88841,LOUISE SIMPSON,1961-04-30,FEMALE,TAVU,ZULU,TEACHER,RENHE,64
825321,EARL LANE,1982-04-08,MALE,FIVECLUB,FILIPINO,SOFTWARE CONSULTANT,RIO GRANDE,43
992844,SHARON RAMOS,1952-07-10,FEMALE,BRAINBOX,YIDDISH,OPERATOR,PANEVÑ_YS,73
992447,WANDA FIELDS,1982-07-25,FEMALE,LIVEFISH,LITHUANIAN,VP ACCOUNTING,JINDªICHOV,43
1200007,RALPH WHEELER,1982-03-02,MALE,ROOMM,CZECH,DESKTOP SUPPORT TECHNICIAN,ZAMBOANGA,43
